"Start time","End time","Rental place","Return place","PAÍS"
"10/1/2023 9:25","10/1/2023 9:34","Plaza Manuel Becerra","Plaza de España (elect.)","Reino Unido"
"10/1/2023 11:11","10/1/2023 11:35","San Bernardo","Las Canteras - Luis Morote","Reino Unido"
"10/1/2023 11:17","10/1/2023 11:32","Churruca","Plaza Manuel Becerra","Italia"
"10/1/2023 11:22","10/1/2023 11:30","Churruca","C.C. El Muelle","Alemania"
"10/1/2023 11:27","10/1/2023 11:33","Churruca","C.C. El Muelle","Reino Unido"
"10/1/2023 11:28","10/1/2023 11:44","Plaza O'Shanahan","Parque Santa Catalina","Austria"
"10/1/2023 11:29","10/1/2023 11:44","Plaza O'Shanahan","Plaza O'Shanahan","Austria"
"10/1/2023 11:44","10/1/2023 11:54","Churruca","Torre Woermann","Bélgica"
"10/1/2023 12:46","10/1/2023 12:53","Base Naval","Torre Las Palmas","Alemania"
"10/1/2023 12:47","10/1/2023 12:53","Base Naval","Torre Las Palmas","Alemania"
"10/1/2023 12:58","10/1/2023 13:15","Torre Woermann","Piscina Julio Navarro","Rumanía"
"10/1/2023 13:24","10/1/2023 13:50","Las Canteras - Luis Morote","San Bernardo","Reino Unido"
"10/1/2023 13:36","10/1/2023 13:45","Las Canteras - Luis Morote","Plaza del Pilar","Alemania"
"10/1/2023 14:05","10/1/2023 14:24","Torre Las Palmas","Aparcamiento Sanapú","Austria"
"10/1/2023 14:05","10/1/2023 14:09","Torre Las Palmas","Torre Las Palmas","Austria"
"10/1/2023 14:10","10/1/2023 14:23","Torre Las Palmas","Aparcamiento Sanapú","Austria"
"10/1/2023 14:30","10/1/2023 14:37","León y Castillo","Ayuntamiento","Eslovenia"
"10/1/2023 14:30","10/1/2023 14:37","León y Castillo","Ayuntamiento","Austria"
"10/1/2023 14:40","10/1/2023 14:49","Las Canteras - Luis Morote","Torre Las Palmas","Alemania"
"10/1/2023 15:38","10/1/2023 15:46","Oficina Sítycleta","Plaza de España (elect.)","Alemania"
"10/1/2023 15:41","10/1/2023 15:51","Piscina Julio Navarro","Las Canteras - Luis Morote","Países Bajos"
"10/1/2023 15:51","10/1/2023 16:01","Paseo de Chil - Av. Escaleritas","Churruca","Polonia"
"10/1/2023 15:54","10/1/2023 16:02","Castillo de la Luz","Las Canteras - Luis Morote","Alemania"
"10/1/2023 16:40","10/1/2023 21:51","Plaza del Pilar","Las Canteras - Luis Morote","Francia"
"10/1/2023 17:47","10/1/2023 17:58","Torre Woermann","Churruca","Italia"
